k,tk,sk,
1,0,1,
2,0.28434,0.99993,
3,0.3904,0.98696,
4,0.61113,0.98603,
5,0.79736,0.9786,
6,0.96334,0.96725,
7,1.14444,0.96725,
8,1.37509,0.96725,C
9,1.53803,0.9574,
10,1.63057,0.94094,
11,1.86567,0.92081,
12,2.10076,0.90643,
13,2.16793,0.88056,
14,2.40302,0.86043,
15,2.63812,0.83455,
16,2.80604,0.81443,
17,3.10831,0.7943,*
18,3.30981,0.7713,
19,3.61208,0.75692,
20,3.84717,0.74255,
21,4.11585,0.7253,
22,4.41812,0.7138,
23,4.55245,0.69079,
24,4.75396,0.66492,
25,4.95547,0.64192,
26,5.19057,0.61604,
27,5.45925,0.60166,
28,5.50239,0.58101,
29,5.66075,0.58101,C
30,5.94256,0.58101,C
31,6.16453,0.55854,*
32,6.46679,0.53841,
33,6.63472,0.51828,
34,6.90339,0.50103,
35,7.1049,0.47803,
36,7.40717,0.46653,
37,7.70943,0.44928,
38,8.04528,0.44065,
39,8.28037,0.4234,
40,8.54905,0.4119,
41,8.75056,0.39178,
42,9.01924,0.37453,*
43,9.18717,0.35152,
44,9.42226,0.32852,
45,9.65735,0.31127,
46,9.85886,0.29402,
47,10.16113,0.28252,
48,10.32905,0.27389,
49,10.46339,0.27389,C
50,10.79924,0.27389,
51,11.13509,0.26527,
52,11.47094,0.26239,
53,11.7732,0.25089,
54,12.07546,0.24227,*
55,12.41131,0.23939,
56,12.67999,0.23077,
57,13.01584,0.23077,
58,13.35169,0.23077,
59,13.62037,0.21639,
60,13.92263,0.21639,C
61,14.2249,0.21639,
62,14.56074,0.20777,
63,14.89659,0.20201,
64,14.99735,0.19051,
65,15.3332,0.19051,*C
66,15.66904,0.18764,
67,15.87055,0.18476,
68,16.07206,0.17614,
69,16.2064,0.16464,
70,16.54225,0.16176,
71,16.8781,0.16176,
72,17.11319,0.15314,
73,17.21395,0.15314,C
74,17.5498,0.15314,
75,17.88565,0.15314,
76,18.22149,0.15601,*
77,18.423,0.15314,
78,18.62451,0.15314,
79,18.85961,0.13589,
80,19.12829,0.13589,
81,19.39696,0.13589,C
82,19.59847,0.13301,
83,19.90074,0.13589,
84,20.10225,0.11576,
85,20.43809,0.11576,
86,20.77394,0.11576,
87,21.00904,0.10138,*
88,21.3113,0.09563,
89,21.64715,0.09563,
90,21.983,0.09563,
91,22.31885,0.09563,
92,22.6547,0.09563,
93,22.99054,0.09563,
94,23.32639,0.09563,
95,23.66224,0.09563,
96,23.99809,0.09563,
97,24.33394,0.09563,*
