k,tk,sk,
1,0,1,
2,0.44034,0.9871,
3,0.73717,0.96981,
4,1.06698,0.95828,
5,1.26486,0.93234,
6,1.29784,0.90352,
7,1.39678,0.8747,
8,1.49572,0.84588,
9,1.62765,0.81706,
10,1.95745,0.80554,
11,2.28726,0.79401,
12,2.51812,0.77672,
13,2.68303,0.7479,
14,2.71601,0.71908,
15,3.04582,0.69314,*
16,3.37562,0.68738,
17,3.70543,0.67297,
18,4.03524,0.66432,
19,4.16716,0.6355,
20,4.29908,0.60956,
21,4.29908,0.60092,
22,4.52995,0.5721,
23,4.79379,0.56345,
24,5.1236,0.53752,
25,5.38744,0.52022,
26,5.51936,0.49429,
27,5.75023,0.46547,
28,5.88215,0.44529,
29,6.21196,0.43953,*
30,6.54177,0.43377,
31,6.87157,0.41647,
32,6.93753,0.38765,
33,7.23436,0.35884,
34,7.53119,0.34443,
35,7.86099,0.34443,
36,8.1908,0.33578,
37,8.28974,0.30696,
38,8.42166,0.28102,
39,8.48762,0.28102,
40,8.81743,0.26373,
41,9.14724,0.24932,*
42,9.44406,0.23779,
43,9.77387,0.22915,
44,10.10368,0.22627,
45,10.43348,0.21186,
46,10.59839,0.18304,
47,10.89521,0.17151,
48,11.22502,0.16863,
49,11.55483,0.16286,
50,11.88463,0.1571,
51,12.21444,0.15134,*
52,12.51126,0.13693,
53,12.84107,0.12828,
54,13.23684,0.12828,
55,13.56665,0.12828,
56,13.89645,0.12828,
57,14.22626,0.12828,
58,14.55607,0.11387,
59,14.81991,0.10234,
60,15.14972,0.10234,*
61,15.47952,0.10234,
62,15.80933,0.10234,
63,16.07318,0.10234,
64,16.40298,0.10234,
65,16.73279,0.10234,
66,17.0626,0.10234,
67,17.3924,0.10234,
68,17.72221,0.10234,
69,18.05202,0.10234,*
70,18.38182,0.0937,
71,18.67865,0.07641,
72,19.00845,0.07641,
73,19.33826,0.07641,
74,19.60211,0.07641,
75,19.93191,0.07641,
76,20.26172,0.07641,
77,20.59153,0.07641,
78,20.92133,0.07641,
79,21.25114,0.07641,*
