k,tk,sk,
1,0,1,
2,0.01159,0.98422,
3,0.14352,0.98422,C
4,0.44034,0.97845,
5,0.73717,0.9554,
6,0.83611,0.92658,
7,1.16592,0.90064,
8,1.29784,0.8747,
9,1.29784,0.84588,
10,1.29784,0.82283,
11,1.3638,0.79401,
12,1.39678,0.79401,C
13,1.39678,0.73637,
14,1.39678,0.70755,
15,1.42976,0.67873,
16,1.46274,0.64991,
17,1.46274,0.62109,
18,1.46274,0.60668,
19,1.52871,0.57786,
20,1.59467,0.54904,
21,1.59467,0.52022,
22,1.79255,0.49429,
23,1.95745,0.46547,
24,2.2213,0.44818,
25,2.48514,0.428,
26,2.55111,0.39918,
27,2.68303,0.37036,
28,2.78197,0.34154,
29,2.78197,0.3012,
30,2.81495,0.3012,C
31,2.88091,0.27526,
32,3.04582,0.24932,*
33,3.37562,0.24068,
34,3.70543,0.22915,
35,3.83735,0.22915,
36,4.16716,0.21474,
37,4.20014,0.18592,
38,4.431,0.16286,
39,4.69485,0.15134,
40,5.02465,0.14269,
41,5.2885,0.12828,
42,5.51936,0.11387,
43,5.81619,0.10234,
44,6.146,0.10234,*
45,6.40984,0.10234,
46,6.73965,0.10234,
47,6.93753,0.07929,
48,7.23436,0.062,
49,7.56417,0.062,
50,7.89397,0.062,
51,8.22378,0.05335,
52,8.48762,0.04182,
53,8.81743,0.04182,
54,9.14724,0.04182,*
55,9.44406,0.03318,
56,9.74089,0.02453,
57,10.0707,0.02165,
58,10.4005,0.01012,
59,10.73031,0.01012,
60,11.06012,0.01012,
61,11.38992,0.01012,
62,11.71973,0.01012,
63,12.04954,0.01012,*
64,12.37934,0.01012,
65,12.70915,0.01012,
66,13.03896,0.01012,
67,13.36876,0.01012,
68,13.69857,0.01012,
69,14.02837,0.01012,
70,14.35818,0.01012,
71,14.68799,0.01012,
72,15.01779,0.01012,*
